id,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,load_date
220,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,4/01/2001
221,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,5/01/2001
222,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,5/01/2001
223,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299,5/01/2001
224,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799,5/01/2001
225,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499,5/01/2001
226,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,2/01/2001
227,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,2/01/2001
230,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,2/01/2001
231,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189,4/01/2001
232,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669,4/01/2001
233,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,4/01/2001
234,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,4/01/2001
235,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,5/01/2001
236,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,5/01/2001
240,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900,5/01/2001
244,2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,2/01/2001
245,2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,2/01/2001
247,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,2/01/2001
248,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925,2/01/2001
249,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,2/01/2001
252,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,24,25,9233,6/01/2001
253,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29,11259,6/01/2001
254,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32,7463,6/01/2001
255,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31,10198,6/01/2001
256,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29,8013,7/01/2001
257,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900,5/01/2001
260,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630,5/01/2001
261,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950,5/01/2001
262,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134.0,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150,5/01/2001
264,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,6/01/2001
